City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yima,CN,34.7381,111.8839,99.68,21,17,20.11,few clouds
1,Gorontalo,ID,0.5412,123.0595,79.14,90,100,1.79,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,33.55,79,100,6.53,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,80,4.0,broken clouds
4,Dikson,RU,73.5069,80.5464,35.62,79,97,11.92,overcast clouds
5,Butaritari,KI,3.0707,172.7902,81.28,79,6,6.64,light rain
6,Mataura,NZ,-46.1927,168.8643,43.48,96,99,1.72,overcast clouds
7,Leningradskiy,RU,69.3833,178.4167,43.27,77,96,8.68,light rain
8,Ushuaia,AR,-54.8,-68.3,28.06,93,100,9.22,light snow
9,Vaini,TO,-21.2,-175.2,76.62,88,69,19.71,broken clouds
10,Celestun,MX,20.8667,-90.4,77.14,85,100,10.02,overcast clouds
11,Atuona,PF,-9.8,-139.0333,77.85,75,11,20.07,few clouds
12,Rikitea,PF,-23.1203,-134.9692,74.57,67,63,10.56,broken clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,36.12,88,100,12.57,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,47.8,75,14,5.57,few clouds
15,Ibra,OM,22.6906,58.5334,100.98,27,0,6.76,clear sky
16,Bredasdorp,ZA,-34.5322,20.0403,50.65,76,5,5.64,clear sky
17,Pacific Grove,US,36.6177,-121.9166,55.11,89,4,10.0,clear sky
18,Cape Town,ZA,-33.9258,18.4232,52.12,93,20,9.22,few clouds
19,Kupang,ID,-10.1667,123.5833,85.23,57,32,9.86,scattered clouds
20,Beringovskiy,RU,63.05,179.3167,50.85,66,100,12.64,overcast clouds
21,Jamestown,US,42.097,-79.2353,55.51,76,0,4.61,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,56.32,80,22,4.0,few clouds
23,Areosa,PT,41.7178,-8.8571,61.52,87,66,6.44,broken clouds
24,Castro,BR,-24.7911,-50.0119,45.91,97,71,5.3,broken clouds
25,Provideniya,RU,64.3833,-173.3,54.55,57,12,7.52,few clouds
26,Baker City,US,44.7749,-117.8344,47.59,78,7,4.7,clear sky
27,Enumclaw,US,47.2043,-121.9915,53.92,91,100,1.99,overcast clouds
28,Tara,RU,56.8944,74.371,77.02,50,19,3.18,few clouds
29,Marovoay,MG,-16.1,46.6333,82.81,44,6,8.32,clear sky
30,Aojiang,CN,22.9421,116.0359,85.3,71,100,15.9,moderate rain
31,Ancud,CL,-41.8697,-73.8203,41.23,90,100,5.21,overcast clouds
32,Corcoran,US,36.098,-119.5604,63.09,38,0,12.57,clear sky
33,Ranau,MY,5.9538,116.6641,78.01,88,44,1.05,scattered clouds
34,Busselton,AU,-33.65,115.3333,61.92,62,99,16.98,overcast clouds
35,Alyangula,AU,-13.8483,136.4192,79.16,65,6,12.24,clear sky
36,Kavaratti,IN,10.5669,72.642,83.28,71,100,11.48,overcast clouds
37,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,14.97,broken clouds
38,Hirado,JP,33.3597,129.5531,81.39,90,100,14.94,overcast clouds
39,Talaya,RU,61.3833,152.75,57.99,51,48,8.52,scattered clouds
40,Saint Anthony,US,45.0205,-93.218,71.49,54,0,14.97,clear sky
41,Barrow,US,71.2906,-156.7887,35.62,80,0,10.36,clear sky
42,Bambanglipuro,ID,-7.95,110.2833,84.18,72,92,12.84,overcast clouds
43,Karasjok,NO,69.4719,25.5112,43.77,80,100,6.24,overcast clouds
44,Terre Haute,US,39.4667,-87.4139,61.97,70,0,7.25,clear sky
45,Buldana,IN,20.5333,76.1833,90.03,42,59,9.46,broken clouds
46,Bubaque,GW,11.2833,-15.8333,78.64,83,100,19.35,moderate rain
47,Yulara,AU,-25.2406,130.9889,72.07,22,100,6.22,overcast clouds
48,Novomykolayivka,UA,47.9781,35.9102,71.83,57,0,4.83,clear sky
49,Makakilo City,US,21.3469,-158.0858,76.57,68,7,14.52,clear sky
50,Hilo,US,19.7297,-155.09,76.28,94,80,1.99,broken clouds
51,Mvuma,ZW,-19.2792,30.5283,64.65,41,0,3.13,clear sky
52,Avarua,CK,-21.2078,-159.775,75.25,69,75,6.91,broken clouds
53,Chuy,UY,-33.6971,-53.4616,40.01,67,1,9.04,clear sky
54,Pochutla,MX,15.7432,-96.4661,75.81,93,88,3.71,overcast clouds
55,Codrington,AU,-38.2667,141.9667,53.87,67,100,12.39,overcast clouds
56,Cartagena,CO,10.3997,-75.5144,79.16,80,28,3.22,scattered clouds
57,Taoudenni,ML,22.6783,-3.9836,90.14,36,99,11.34,overcast clouds
58,Albany,US,42.6001,-73.9662,53.02,68,98,3.0,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,61.18,74,73,5.99,broken clouds
60,Olafsvik,IS,64.8945,-23.7142,48.99,87,42,17.56,scattered clouds
61,Takoradi,GH,4.8845,-1.7554,74.39,87,100,3.69,overcast clouds
62,Belmonte,BR,-15.8631,-38.8828,68.81,85,7,1.5,clear sky
63,Pisco,PE,-13.7,-76.2167,53.02,92,4,2.51,clear sky
64,Outjo,NA,-20.1167,16.15,60.64,41,0,5.41,clear sky
65,Pangnirtung,CA,66.1451,-65.7125,32.47,75,89,4.32,overcast clouds
66,Senno,RU,59.5336,33.9167,60.26,96,100,8.25,overcast clouds
67,Champerico,GT,14.3,-91.9167,77.38,85,100,5.46,overcast clouds
68,Iquique,CL,-20.2208,-70.1431,58.17,74,0,4.34,clear sky
69,Touros,BR,-5.1989,-35.4608,73.8,91,22,9.69,few clouds
70,Coquimbo,CL,-29.9533,-71.3436,53.6,87,98,4.76,overcast clouds
71,Ginir,ET,7.1333,40.7,68.7,53,45,10.33,scattered clouds
72,Samut Songkhram,TH,13.4,99.9583,101.98,44,37,3.96,scattered clouds
73,Excelsior Springs,US,39.3392,-94.2261,79.5,71,0,3.44,clear sky
74,Kirakira,SB,-10.4544,161.9205,79.47,82,31,2.39,scattered clouds
75,Kodiak,US,57.79,-152.4072,49.51,87,100,8.05,overcast clouds
76,Mangrol,IN,21.1167,70.1167,88.9,64,40,10.85,scattered clouds
77,Saint-Leu,RE,-21.15,55.2833,77.83,69,6,12.57,clear sky
78,Georgetown,MY,5.4112,100.3354,85.95,78,40,8.05,scattered clouds
79,Bluff,NZ,-46.6,168.3333,43.81,74,100,14.16,overcast clouds
80,Hutchinson,US,38.0608,-97.9298,80.04,75,9,3.0,clear sky
81,Padang,ID,-0.9492,100.3543,82.45,80,84,7.29,broken clouds
82,Scarborough,GB,54.2797,-0.4044,57.78,75,33,3.0,scattered clouds
83,La Ronge,CA,55.1001,-105.2842,57.61,99,85,6.17,overcast clouds
84,Meulaboh,ID,4.1363,96.1285,81.5,72,91,5.23,overcast clouds
85,Bethel,US,41.3712,-73.414,57.02,75,70,11.36,broken clouds
86,Sisimiut,GL,66.9395,-53.6735,38.71,77,100,7.96,overcast clouds
87,New Norfolk,AU,-42.7826,147.0587,54.9,75,9,3.0,clear sky
88,Kapaa,US,22.0752,-159.319,78.78,83,100,13.8,overcast clouds
89,Andrychow,PL,49.855,19.3383,76.32,73,0,5.73,clear sky
90,Vestmannaeyjar,IS,63.4427,-20.2734,49.57,88,42,10.11,scattered clouds
91,Saskylakh,RU,71.9167,114.0833,44.26,56,100,23.69,overcast clouds
92,Rahimatpur,IN,17.6,74.2,89.08,45,100,11.77,overcast clouds
93,Viedma,AR,-40.8135,-62.9967,46.26,78,100,11.63,overcast clouds
94,Punta Arenas,CL,-53.15,-70.9167,34.39,74,100,11.03,overcast clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,68.72,78,100,15.73,overcast clouds
96,Thompson,CA,55.7435,-97.8558,60.42,82,100,9.57,overcast clouds
97,Gushikawa,JP,26.3544,127.8686,86.63,72,75,13.8,broken clouds
98,Carnarvon,AU,-24.8667,113.6333,70.81,56,3,15.77,clear sky
99,Nara,JP,34.6851,135.8049,87.91,61,100,9.95,overcast clouds
100,Xai-Xai,MZ,-25.0519,33.6442,68.47,65,0,11.45,clear sky
101,Airai,TL,-8.9266,125.4092,70.36,55,66,3.49,broken clouds
102,Moberly,US,39.4184,-92.4382,65.93,74,0,5.75,clear sky
103,Severo-Kurilsk,RU,50.6789,156.125,48.96,94,100,3.06,overcast clouds
104,Khatanga,RU,71.9667,102.5,46.11,55,100,11.99,overcast clouds
105,Hamilton,US,39.1834,-84.5333,60.89,67,0,0.0,clear sky
106,Najran,SA,17.4924,44.1277,94.82,9,83,11.25,broken clouds
107,Sao Filipe,CV,14.8961,-24.4956,74.12,86,100,6.2,overcast clouds
108,Sungurlu,TR,40.1675,34.3739,69.8,47,6,7.74,clear sky
109,Nuuk,GL,64.1835,-51.7216,45.21,81,100,17.27,light snow
110,Campbell River,CA,50.0163,-125.2446,58.53,94,100,1.86,overcast clouds
111,Vila Velha,BR,-20.3297,-40.2925,70.95,90,24,8.01,few clouds
112,Phetchaburi,TH,12.9667,99.5833,95.85,40,86,3.24,overcast clouds
113,Port-Gentil,GA,-0.7193,8.7815,73.36,88,40,4.61,scattered clouds
114,Chissamba,AO,-12.1667,17.3333,60.96,41,56,2.21,broken clouds
115,Batsfjord,NO,70.6345,29.7185,42.73,93,75,8.05,light rain
116,Leiyang,CN,26.4024,112.8591,80.08,89,100,5.3,moderate rain
117,Dingle,PH,10.9995,122.6711,88.0,65,100,4.79,overcast clouds
118,East London,ZA,-33.0153,27.9116,61.56,71,16,9.91,few clouds
119,Yellowknife,CA,62.456,-114.3525,57.56,71,80,4.0,broken clouds
120,Chicama,PE,-7.8447,-79.1469,57.74,84,7,4.56,clear sky
121,Lebu,CL,-37.6167,-73.65,47.64,87,100,10.2,overcast clouds
122,Isangel,VU,-19.55,169.2667,76.21,85,100,17.83,light rain
123,Dunedin,NZ,-45.8742,170.5036,46.8,75,100,8.99,overcast clouds
124,Lompoc,US,34.6391,-120.4579,53.6,80,40,21.0,scattered clouds
125,Guanambi,BR,-14.2233,-42.7814,63.1,50,6,5.23,clear sky
126,Chokurdakh,RU,70.6333,147.9167,61.88,47,100,21.41,overcast clouds
127,Zgorzelec,PL,51.1494,15.0084,82.85,45,0,1.99,clear sky
128,Hobart,AU,-42.8794,147.3294,55.26,78,40,10.36,scattered clouds
129,Pyaozerskiy,RU,65.8333,31.1667,49.19,73,92,8.03,overcast clouds
130,Cosala,MX,24.4125,-106.6908,75.02,87,94,0.45,overcast clouds
131,Umm Kaddadah,SD,13.6017,26.6876,89.2,17,100,10.51,overcast clouds
132,Along,IN,28.1667,94.7667,73.02,99,100,0.49,overcast clouds
133,Ayan,RU,56.45,138.1667,49.14,86,82,9.01,broken clouds
134,Grand Island,US,40.925,-98.342,80.55,70,0,14.97,clear sky
135,Kaitangata,NZ,-46.2817,169.8464,44.37,86,89,7.83,overcast clouds
136,Ixtapa,MX,20.7,-105.2,76.33,91,100,2.35,moderate rain
137,Masallatah,LY,32.6167,14.0,78.44,46,4,10.78,clear sky
138,Impfondo,CG,1.6381,18.0667,72.28,85,100,4.03,overcast clouds
139,Kuytun,RU,54.3419,101.5036,72.43,48,100,4.61,overcast clouds
140,Amahai,ID,-3.3333,128.9167,81.32,78,90,6.73,light rain
141,Bengkulu,ID,-3.8004,102.2655,82.0,80,90,5.46,overcast clouds
142,Alice Springs,AU,-23.7,133.8833,71.15,32,100,8.05,overcast clouds
143,Mount Gambier,AU,-37.8333,140.7667,52.75,70,100,13.0,light rain
144,Karwar,IN,14.8,74.1333,82.99,72,98,7.67,overcast clouds
145,Hithadhoo,MV,-0.6,73.0833,82.49,68,100,0.49,overcast clouds
146,Pallasovka,RU,50.05,46.8833,76.82,46,0,9.42,clear sky
147,San Francisco,US,37.7749,-122.4194,58.51,83,20,13.8,few clouds
148,Khailar,IN,25.35,78.5333,96.98,36,17,9.1,few clouds
149,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,40,12.66,scattered clouds
150,Gorgan,IR,36.8387,54.4348,83.95,52,19,6.98,few clouds
151,Sokolo,ML,14.7328,-6.1219,78.19,70,98,7.47,overcast clouds
152,Faya,SA,18.3851,42.4509,84.72,14,49,8.08,scattered clouds
153,Nikolskoye,RU,59.7035,30.7861,66.87,66,60,13.24,broken clouds
154,Ushtobe,KZ,45.2514,77.9838,91.53,14,8,6.2,clear sky
155,Guerrero Negro,MX,27.9769,-114.0611,63.3,80,0,11.25,clear sky
156,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,25.32,few clouds
157,Domoni,KM,-12.2569,44.5319,78.28,72,100,11.41,overcast clouds
158,Leh,IN,34.1667,77.5833,57.85,26,91,6.78,overcast clouds
159,Vilcun,CL,-38.65,-72.2333,43.54,85,100,6.13,overcast clouds
160,Ahuimanu,US,21.4447,-157.8378,78.51,74,75,12.66,broken clouds
161,Andilamena,MG,-17.0167,48.5833,64.47,82,80,10.36,broken clouds
162,Juneau,US,58.3019,-134.4197,55.4,92,75,6.91,broken clouds
163,Camalu,MX,30.85,-116.0667,58.46,87,0,9.31,clear sky
164,Vostok,RU,46.4856,135.8833,60.64,91,99,5.93,light rain
165,Khash,IR,28.2211,61.2158,92.84,8,0,20.09,clear sky
166,Dubbo,AU,-32.25,148.6167,59.13,63,40,8.05,scattered clouds
167,Lima,PE,-12.0432,-77.0282,59.23,85,19,8.08,few clouds
168,Borgarnes,IS,64.5383,-21.9206,51.8,86,100,12.62,overcast clouds
169,Cherskiy,RU,68.75,161.3,56.5,48,18,2.93,few clouds
170,Zhezkazgan,KZ,47.8043,67.7144,91.38,14,40,11.18,scattered clouds
171,Rio Negro,BR,-26.1058,-49.7975,41.41,99,43,2.3,scattered clouds
172,Mahebourg,MU,-20.4081,57.7,77.29,69,40,12.66,scattered clouds
173,Biak,ID,-0.9131,122.8766,80.96,76,51,8.03,broken clouds
174,Ponta Do Sol,PT,32.6667,-17.1,69.71,81,61,4.54,broken clouds
175,Barcelos,PT,41.5388,-8.6151,61.92,88,12,3.44,few clouds
176,Constitucion,CL,-35.3333,-72.4167,50.02,61,100,3.09,overcast clouds
177,Cidreira,BR,-30.1811,-50.2056,44.91,78,5,6.55,clear sky
178,Krasnoselkup,RU,65.7,82.4667,71.53,33,30,10.96,scattered clouds
179,Puerto Colombia,CO,10.9878,-74.9547,77.09,80,24,4.68,few clouds
180,Virginia Beach,US,36.8529,-75.978,71.02,50,16,4.0,few clouds
181,Vitim,RU,59.4511,112.5578,67.37,59,100,10.83,overcast clouds
182,Kashin,RU,57.3592,37.6081,61.93,93,100,13.31,overcast clouds
183,Quatre Cocos,MU,-20.2078,57.7625,77.11,70,85,14.88,overcast clouds
184,Buchanan,LR,5.8808,-10.0467,75.74,83,41,3.94,scattered clouds
185,Nome,US,64.5011,-165.4064,63.16,36,40,8.05,scattered clouds
186,Torbay,CA,47.6666,-52.7314,61.29,88,99,4.0,overcast clouds
187,Vao,NC,-22.6667,167.4833,72.39,84,100,25.79,light rain
188,Opotiki,NZ,-38.0833,177.2833,54.39,79,100,9.31,overcast clouds
189,Mar Del Plata,AR,-38.0023,-57.5575,41.09,66,84,3.0,broken clouds
190,Roma,US,43.2128,-75.4557,48.09,78,0,8.88,clear sky
191,Ilheus,BR,-14.7889,-39.0494,64.38,97,71,4.34,broken clouds
192,Karratha,AU,-20.7377,116.8463,82.89,41,0,4.05,clear sky
193,La Palma,US,33.8464,-118.0467,65.97,80,0,4.61,clear sky
194,Sorong,ID,-0.8833,131.25,82.67,74,39,3.06,scattered clouds
195,Srednekolymsk,RU,67.45,153.6833,64.22,32,96,6.71,overcast clouds
196,Port Hueneme,US,34.1478,-119.1951,63.95,80,0,3.44,clear sky
197,Nishihara,JP,26.1842,127.7558,86.68,88,75,13.8,moderate rain
198,Ardalstangen,NO,61.2371,7.6983,53.47,60,100,1.28,overcast clouds
199,Menongue,AO,-14.6585,17.691,61.65,39,0,5.7,clear sky
200,Tabou,CI,4.423,-7.3528,76.62,81,100,1.92,overcast clouds
201,Kudahuvadhoo,MV,2.6708,72.8944,83.44,71,20,7.11,few clouds
202,Kamina,CD,-8.7386,24.9906,73.74,35,100,4.09,overcast clouds
203,Xocali,AZ,39.913,46.7903,76.46,58,20,6.89,few clouds
204,San Ramon,US,37.7799,-121.978,58.41,82,0,8.05,clear sky
205,Gezing,AT,47.9178,13.1299,74.35,85,0,11.5,clear sky
206,Ahipara,NZ,-35.1667,173.1667,57.29,91,100,7.99,overcast clouds
207,Zawadzkie,PL,50.605,18.4847,77.67,54,0,15.55,clear sky
208,Byron Bay,AU,-28.65,153.6167,60.94,80,100,11.97,light rain
209,San Cristobal,VE,7.7669,-72.225,64.44,98,98,3.56,overcast clouds
210,Faanui,PF,-16.4833,-151.75,79.0,78,5,17.43,moderate rain
211,Lavrentiya,RU,65.5833,-171.0,52.75,53,11,5.57,few clouds
