City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Salym,RU,78.8,overcast clouds,60.0625,71.4789,Gostinitsa Salym
245,Marsh Harbour,BS,80.82,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
252,Thiruvananthapuram,IN,85.98,few clouds,8.4833,76.9167,Hotel Residency Tower
255,Tortoli,IT,81.19,few clouds,39.9256,9.6572,Hotel La Bitta
260,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
261,Kachiry,KZ,79.75,broken clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
267,Quchan,IR,75.61,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
269,Zhangye,CN,79.36,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
270,Sunrise Manor,US,77.09,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
271,Anloga,GH,77.34,light rain,5.7947,0.8973,Pin Drop Hotel
273,Atar,MR,81.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
277,Samarai,PG,81.23,scattered clouds,-10.6167,150.6667,Nuli Sapi
278,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Bungalow 63
280,Cockburn Town,TC,81.41,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Nabire,ID,82.17,broken clouds,-3.3667,135.4833,Hotel Nusantara I
282,Marawi,PH,75.15,light rain,7.9986,124.2928,Derogongan Residence
284,Belle Fourche,US,77.34,scattered clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
285,Lodwar,KE,79.56,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
290,Bati,ET,79.02,overcast clouds,11.1833,40.0167,Meqdela Hotel
291,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
294,Bansang,GM,76.89,overcast clouds,13.4333,-14.65,Margie's Lodge
296,Bathsheba,BB,79.05,clear sky,13.2167,-59.5167,Atlantis Hotel
299,Houma,US,84.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
301,Mogadishu,SO,81.48,scattered clouds,2.0371,45.3438,Hotel Juba
307,Tual,ID,81.9,light rain,-5.6667,132.75,Grand Vilia Hotel
308,Atasu,KZ,89.2,broken clouds,48.6814,71.6433,Dostyk
310,Sabha,LY,84.45,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
311,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
322,Bangkalan,ID,87.75,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
323,Seoul,KR,78.19,broken clouds,37.5683,126.9778,롯데호텔 서울
325,Cabo San Lucas,MX,81.52,few clouds,22.8909,-109.9124,Vista Roof Restaurant
340,Fort-Shevchenko,KZ,78.42,clear sky,44.5086,50.263,Oasis hotel Bautino
341,Kavieng,PG,82.45,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
347,Balikpapan,ID,85.19,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
351,Amposta,ES,80.22,scattered clouds,40.7131,0.581,Lo Molí de Rosquilles
352,Sayyan,YE,77.95,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
356,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
359,Chernyshevskiy,RU,81.72,overcast clouds,63.0128,112.4714,Chernyseyskiy
360,Harper,LR,77.31,overcast clouds,4.375,-7.7169,Screensaver
364,Cuiluan,CN,79.12,clear sky,47.72,128.648,Shuncheng Hotel
365,Waingapu,ID,84.85,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
368,Fort Walton Beach,US,85.03,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
371,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
374,Tura,IN,80.65,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
379,Belyy Yar,RU,75.09,thunderstorm,53.6039,91.3903,Pasportnyy Stol
382,Alofi,NU,78.46,light rain,-19.0595,-169.9187,Taloa Heights
383,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
385,Sampit,ID,86.32,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
388,The Woodlands,US,83.46,clear sky,30.158,-95.4894,"The Woodlands Resort, Curio Collection by Hilton"
389,Oistins,BB,78.93,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
393,Lengshuitan,CN,79.2,moderate rain,26.4111,111.5956,Jialong Hotel
394,Amazar,RU,79.09,overcast clouds,53.858,120.875,Гостиничный Комплекс Уют
395,Wetter,DE,82.35,clear sky,50.9,8.7167,Stadthotel Wetter
399,Mana,GF,75.65,overcast clouds,5.6592,-53.7767,LE SAMANA
406,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
408,Ambon,ID,80.24,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
409,Spaichingen,DE,81.75,clear sky,48.0833,8.7167,Hotel Hofgut Hohenkarpfen
410,Pekan,MY,84.2,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
412,Todos Santos,MX,76.66,few clouds,23.45,-110.2167,Hotel California Todos Santos
417,Xuddur,SO,81.93,overcast clouds,4.1213,43.8894,Banjanay Hotel
418,Katobu,ID,81.43,broken clouds,-4.9408,122.5276,La Ode Husein
425,Artyom,AZ,82.54,clear sky,40.4723,50.333,Pir hos
427,Pontianak,ID,89.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
429,Korla,CN,88.05,overcast clouds,41.7597,86.1469,Gulisitan Hotel
430,Chanute,US,78.91,clear sky,37.6792,-95.4572,Guest House Motel Chanute
431,Lensk,RU,79.23,overcast clouds,60.7253,114.9278,ТинОрС
433,Pangkalanbuun,ID,83.12,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
435,Chabahar,IR,86.18,clear sky,25.2919,60.643,هتل گدروشیا
437,Kununurra,AU,89.58,few clouds,-15.7667,128.7333,Hotel Kununurra
438,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
443,Kieta,PG,81.18,light rain,-6.2167,155.6333,Uruna Bay Retreat
454,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
460,Yeniseysk,RU,76.19,light rain,58.4497,92.1703,"""Domino"""
462,Buala,SB,81.23,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
463,Tecoanapa,MX,78.66,overcast clouds,16.5167,-98.75,Hotel Manglares
466,Shache,CN,78.37,overcast clouds,38.4167,77.2406,Delong Hotel
474,Coahuayana,MX,76.17,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
476,Awjilah,LY,80.4,clear sky,29.1081,21.2869,المنزل
479,Jega,NG,82.22,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
483,Pindi Gheb,PK,87.85,clear sky,33.2402,72.2661,Mohallah Masjid Ghulam shah
