City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Francois,FR,2022-06-19 01:13:04,46.4154,3.9054,78.67,41,0,10.36
68,Vila Franca Do Campo,PT,2022-06-19 01:13:04,37.7167,-25.4333,64.2,79,18,14.03
69,Isangel,VU,2022-06-19 01:13:05,-19.55,169.2667,76.48,84,100,20.13
70,Pevek,RU,2022-06-19 01:13:05,69.7008,170.3133,36.81,78,99,3.4
71,Tuktoyaktuk,CA,2022-06-19 01:13:06,69.4541,-133.0374,39.52,83,73,10.98
72,Faanui,PF,2022-06-19 01:13:06,-16.4833,-151.75,80.19,75,14,17.85
73,Alice Springs,AU,2022-06-19 01:13:07,-23.7,133.8833,62.15,36,100,6.91
74,Yulara,AU,2022-06-19 01:13:07,-25.2406,130.9889,63.79,31,100,2.1
75,Lubu,CN,2022-06-19 01:13:08,23.1742,112.2809,83.66,84,100,3.31
76,Ostrovnoy,RU,2022-06-19 01:13:08,68.0531,39.5131,40.35,96,100,9.78
77,Eirunepe,BR,2022-06-19 01:13:09,-6.6603,-69.8736,72.03,98,28,2.24
78,East London,ZA,2022-06-19 01:13:09,-33.0153,27.9116,61.38,70,100,8.41
79,Concordia,AR,2022-06-19 01:13:10,-31.393,-58.0209,44.78,84,0,4.0
80,Ketchikan,US,2022-06-19 01:13:10,55.3422,-131.6461,63.07,67,40,14.97
81,Avarua,CK,2022-06-19 01:13:10,-21.2078,-159.775,77.05,65,100,11.5
82,Chokurdakh,RU,2022-06-19 01:13:11,70.6333,147.9167,59.32,37,100,17.02
83,Cabo San Lucas,MX,2022-06-19 01:13:11,22.8909,-109.9124,85.3,70,0,11.5
84,Arraial Do Cabo,BR,2022-06-19 01:13:12,-22.9661,-42.0278,70.25,82,100,16.73
85,Grand Gaube,MU,2022-06-19 01:13:12,-20.0064,57.6608,69.39,76,6,3.0
86,Port Alfred,ZA,2022-06-19 01:13:13,-33.5906,26.891,54.18,88,75,3.0
87,Victoria,HK,2022-06-19 01:12:06,22.2855,114.1577,87.19,85,100,15.01
88,Port Elizabeth,ZA,2022-06-19 01:13:14,-33.918,25.5701,55.31,93,32,1.99
89,Flinders,AU,2022-06-19 01:13:14,-34.5833,150.8552,63.05,75,23,3.0
90,Butaritari,KI,2022-06-19 01:13:15,3.0707,172.7902,81.7,78,28,10.38
91,Busselton,AU,2022-06-19 01:13:15,-33.65,115.3333,59.38,63,100,19.51
92,Rusera,IN,2022-06-19 01:13:16,25.75,86.0333,86.94,57,6,7.94
93,Longyearbyen,SJ,2022-06-19 01:14:16,78.2186,15.6401,40.84,75,75,11.5
94,Tabuk,PH,2022-06-19 01:14:17,17.4189,121.4443,83.07,75,100,4.34
95,Nikolskoye,RU,2022-06-19 01:14:17,59.7035,30.7861,58.91,97,100,9.35
96,Broome,US,2022-06-19 01:14:18,42.2506,-75.833,59.02,56,0,6.91
97,Saldanha,ZA,2022-06-19 01:14:18,-33.0117,17.9442,57.02,65,86,5.08
98,Jiayuguan,CN,2022-06-19 01:14:19,39.8167,98.3,69.51,34,100,2.73
99,Imbituba,BR,2022-06-19 01:11:46,-28.24,-48.6703,56.86,94,0,2.62
100,Clyde River,CA,2022-06-19 01:14:19,70.4692,-68.5914,35.98,76,0,5.88
101,Rio Gallegos,AR,2022-06-19 01:14:20,-51.6226,-69.2181,24.85,93,0,12.66
102,Port Lincoln,AU,2022-06-19 01:14:20,-34.7333,135.8667,56.71,69,90,25.48
103,Santa Luzia,BR,2022-06-19 01:14:20,-19.7697,-43.8514,67.1,68,28,4.27
104,Lata,PT,2022-06-19 01:14:21,40.1629,-8.3327,58.91,93,78,1.66
105,Quatre Cocos,MU,2022-06-19 01:14:22,-20.2078,57.7625,69.1,84,6,6.24
106,Berekum,GH,2022-06-19 01:14:22,7.4534,-2.584,69.51,92,100,2.17
107,Balikpapan,ID,2022-06-19 01:14:22,-1.2675,116.8289,79.79,94,20,4.61
108,Tazovskiy,RU,2022-06-19 01:14:23,67.4667,78.7,57.22,52,88,13.31
109,Ribeira Grande,PT,2022-06-19 01:14:23,38.5167,-28.7,64.04,76,0,25.66
110,Qaanaaq,GL,2022-06-19 01:14:24,77.484,-69.3632,37.96,64,91,5.5
111,Fort Frances,CA,2022-06-19 01:14:24,48.5999,-93.4003,65.16,59,0,12.66
112,Vardo,NO,2022-06-19 01:14:24,70.3705,31.1107,40.98,93,100,4.61
113,Constitucion,CL,2022-06-19 01:14:25,-35.3333,-72.4167,50.52,68,100,5.08
114,Tiksi,RU,2022-06-19 01:14:25,71.6872,128.8694,48.22,65,76,15.05
115,Sorland,NO,2022-06-19 01:14:26,67.667,12.6934,48.06,86,100,1.52
116,Puerto Ayora,EC,2022-06-19 01:14:26,-0.7393,-90.3518,70.56,95,87,5.99
117,Hilo,US,2022-06-19 01:14:27,19.7297,-155.09,85.28,70,75,12.66
118,Komsomolskiy,UZ,2022-06-19 01:14:27,40.4272,71.7189,66.92,59,100,0.0
119,Qui Nhon,VN,2022-06-19 01:14:27,13.7667,109.2333,88.02,60,36,3.56
120,Dunmore Town,BS,2022-06-19 01:14:28,25.5,-76.65,81.25,75,1,3.91
121,Beyneu,KZ,2022-06-19 01:14:28,45.3167,55.2,72.39,55,6,8.57
122,Ancud,CL,2022-06-19 01:14:29,-41.8697,-73.8203,45.23,93,100,6.53
123,Severo-Kurilsk,RU,2022-06-19 01:14:29,50.6789,156.125,47.12,96,100,1.07
124,La Ronge,CA,2022-06-19 01:14:30,55.1001,-105.2842,60.96,94,100,2.46
125,Airai,TL,2022-06-19 01:14:30,-8.9266,125.4092,68.0,65,16,4.05
126,Pogranichnyy,RU,2022-06-19 01:14:31,44.4064,131.3769,77.16,53,59,13.44
127,Batagay-Alyta,RU,2022-06-19 01:14:31,67.8006,130.4114,67.5,40,100,25.39
128,Banjar,ID,2022-06-19 01:14:31,-8.19,114.9675,81.57,78,44,1.72
129,Ust-Karsk,RU,2022-06-19 01:14:32,52.7011,118.8077,79.29,33,100,3.71
130,Statesboro,US,2022-06-19 01:14:32,32.4488,-81.7832,82.18,57,0,0.0
131,Esperance,AU,2022-06-19 01:14:33,-33.8667,121.9,59.2,66,43,26.19
132,Caborca,MX,2022-06-19 01:14:33,30.5838,-111.101,94.59,24,14,17.94
133,Goba,ET,2022-06-19 01:14:34,7.0167,39.9833,47.75,89,91,5.1
134,Taoudenni,ML,2022-06-19 01:14:34,22.6783,-3.9836,90.84,38,100,6.85
135,Markova,UA,2022-06-19 01:14:35,48.6758,24.4138,55.38,72,5,5.57
136,Sinnamary,GF,2022-06-19 01:14:35,5.3833,-52.95,77.88,86,14,8.19
137,Bilibino,RU,2022-06-19 01:14:36,68.0546,166.4372,63.48,35,100,6.13
138,Kapaa,US,2022-06-19 01:14:36,22.0752,-159.319,84.18,75,75,17.27
139,Kaitangata,NZ,2022-06-19 01:14:36,-46.2817,169.8464,46.83,86,100,11.12
140,Waterford,US,2022-06-19 01:15:37,42.7023,-83.4027,64.85,38,20,5.75
141,Kulhudhuffushi,MV,2022-06-19 01:15:38,6.6221,73.07,81.55,77,100,11.23
142,Andenes,NO,2022-06-19 01:15:38,69.3143,16.1194,48.18,87,100,3.44
143,Yaan,NG,2022-06-19 01:15:39,7.3833,8.5667,72.34,91,100,3.78
144,Vidim,RU,2022-06-19 01:15:40,56.4088,103.1106,62.1,78,6,8.52
145,Luena,AO,2022-06-19 01:15:41,-11.7833,19.9167,51.87,49,14,2.8
